station id,station name,station latitude,station longitude
72,W 52 St & 11 Ave,40.767272,-73.993929
79,Franklin St & W Broadway,40.719116,-74.006667
82,St James Pl & Pearl St,40.711174,-74.000165
83,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323
116,W 17 St & 8 Ave,40.741776,-74.001497
119,Park Ave & St Edwards St,40.696089,-73.978034
120,Lexington Ave & Classon Ave,40.686768,-73.959282
127,Barrow St & Hudson St,40.731724,-74.006744
128,MacDougal St & Prince St,40.727103,-74.002971
137,E 56 St & Madison Ave,40.761628,-73.972924
143,Clinton St & Joralemon St,40.692395,-73.993379
144,Nassau St & Navy St,40.698399,-73.980689
146,Hudson St & Reade St,40.71625,-74.009106
147,Greenwich St & Warren St,40.715422,-74.01122
150,E 2 St & Avenue C,40.720874,-73.980858
151,Cleveland Pl & Spring St,40.722104,-73.997249
152,Warren St & Church St,40.71474,-74.009106
153,E 40 St & 5 Ave,40.752062,-73.981632
157,Henry St & Atlantic Ave,40.690893,-73.996123
160,E 35 St & 3 Ave,40.746524,-73.977885
161,LaGuardia Pl & W 3 St,40.72917,-73.998102
164,E 47 St & 2 Ave,40.753231,-73.970325
167,E 39 St & 3 Ave,40.748901,-73.976049
168,W 18 St & 6 Ave,40.739713,-73.994564
173,Broadway & W 49 St,40.760683,-73.984527
174,E 25 St & 1 Ave,40.738177,-73.977387
195,Liberty St & Broadway,40.709056,-74.010434
212,W 16 St & The High Line,40.743349,-74.006818
216,Columbia Heights & Cranberry St,40.700379,-73.995481
217,Old Fulton St,40.702772,-73.993836
223,W 13 St & 7 Ave,40.737815,-73.999947
224,Spruce St & Nassau St,40.711464,-74.005524
225,W 14 St & The High Line,40.741951,-74.00803
228,E 48 St & 3 Ave,40.754601,-73.971879
229,Great Jones St,40.727434,-73.99379
232,Cadman Plaza E & Tillary St,40.695977,-73.990149
233,Cadman Plaza W & Pierrepont St,40.694757,-73.990527
236,St Marks Pl & 2 Ave,40.728419,-73.98714
237,E 11 St & 2 Ave,40.730473,-73.986724
238,Bank St & Washington St,40.736197,-74.008592
239,Willoughby St & Fleet St,40.691966,-73.981302
241,DeKalb Ave & S Portland Ave,40.68981,-73.974931
242,Carlton Ave & Flushing Ave,40.697787,-73.973736
243,Fulton St & Rockwell Pl,40.688226,-73.979382
244,Willoughby Ave & Hall St,40.69196,-73.965369
245,Myrtle Ave & St Edwards St,40.69327,-73.977039
247,Perry St & Bleecker St,40.735354,-74.004831
248,Laight St & Hudson St,40.721854,-74.007718
249,Harrison St & Hudson St,40.71871,-74.009001
250,Lafayette St & Jersey St,40.724561,-73.995653
251,Mott St & Prince St,40.72318,-73.9948
252,MacDougal St & Washington Sq,40.732264,-73.998522
253,W 13 St & 5 Ave,40.735439,-73.994539
